"","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer"
"ENSG00000000938",8.44780619482174,3.33494711916358,-2.03020477895703,0.279651806108698,4.60907002851796,4.59387403879172,-2.17458576788373,4.16471926644715,7.50560079655489,0.946869016915908,4.39773681488227,1.14953632329208,5.91051932687005,-2.00374427070444,0.19549487334444,4.30573716103408,4.03487467118768,4.7424115541503,3.61173361047393,3.71202709494463,4.06351648598106,6.92017708726155,5.56997251714741,4.5310088170808,6.27854096232487,7.86861274852044,4.71280578180833,5.40980714403442,7.78860445885962,4.5108999175136,4.70314803851613,5.18557416203626,3.53000965884224,5.49079357080603,7.84663304740875,5.57032421728982,5.02782599284788,8.12426319857056,1.93735664596819,3.04012220433251,6.84821450718651,7.65987273464606,4.85505822041527,5.33230726247845,4.98396572900483,6.49614998356267,7.4276956594915,4.39377820825698,6.26133268176171,4.63589973644117,5.7692368824639,8.04707448056563,5.09074665001743,7.01750177715786,5.25438497965188,3.37384100965456,5.60092586155557,6.00070944902309,4.91217067243944,8.52480950880567,8.01919732856366,6.56964283243364,4.24509513930215,4.38105133481333,6.19557467803144,6.74569398860374,5.26800729218046,5.4543621837555,4.94830655696494,6.61886334907839,6.52173112580231,4.22243620122505,5.09474174286368,5.98195354885035,5.98263956592135,5.12301185177805,5.86826460641924,4.17011104645578,5.21429385088351,5.78090171493462,4.04700550897216,4.16397909723764,7.18114829816637,4.29354431014061,5.19086896445383,4.7037775684003,7.62690018168006,8.00885434631902,5.5576806592869,7.12828263339581,5.80020773624335,5.78440611904282,6.09375861337027,5.69098687747086,6.01144225661399
"ENSG00000001036",5.51888929288322,3.18684848017445,-0.445242278235875,0.279651806108698,5.01915831182507,4.23130395940701,-2.17458576788373,-0.47913692332757,5.06896104279084,4.85375961252443,4.2649816060305,2.81938772159975,3.42113448613113,4.01862354232402,6.09434814988754,-1.30897268308113,4.74341185702737,4.61823214292957,3.33343244798683,4.11538278917583,3.61164221852184,3.52139306898156,4.88644618194266,3.15249719382708,4.02512164536779,4.92046846815488,3.37720275002389,3.95608917659152,4.62514895274687,3.69798547011409,3.24943007107323,4.03479420986065,1.58247707873638,4.1882308007856,4.21160670863678,2.71527255320092,3.51076755662853,4.95433819712825,3.21746456516092,3.31575664694594,5.84368484870599,4.66407272317535,4.90315250861632,3.92350171691112,4.7478983707713,5.89915492734662,5.99203019882593,5.40336425708618,6.34994706893528,4.39116614735032,3.80617846085204,4.25810745770653,4.00880503648126,3.82749918470683,4.18162863721657,3.48487232204331,3.21626201132024,3.83262814756447,2.08531957475604,4.91951600979881,4.18092867897059,5.72604438977621,5.99751438587487,5.96601383553448,5.73136433677089,5.11950882515607,5.53395918139655,5.36451556637302,4.86642954991053,5.2031132318345,5.13268883505641,3.78633708641838,4.22480228342805,4.16379187183616,0.14974955175661,3.98550832802811,4.12504002178135,3.72265206948456,4.58626262827047,4.87016905303171,4.73289691854409,3.82294217940257,3.7281286680433,3.57984849529725,4.7903310348701,2.0848677357558,4.86814589874857,4.49170722982543,3.86378378701258,3.66885101475851,4.45625333502598,4.15435572879313,3.946917225041,3.94555970455646,3.87008640736845
"ENSG00000001629",-1.35147542670018,4.2441816552404,4.11954234054765,5.32404592546715,4.4416132826664,3.16937621026381,-2.17458576788373,3.42775367228095,4.75941667235931,3.26879711180327,3.31620692938567,4.06514413600171,4.87719925367003,3.5508445809732,-1.38946762737672,-1.30897268308113,4.65460259006951,3.69708756364081,4.46534412349241,4.43025612652924,3.82691020542491,3.6761156637802,3.30148368122151,3.49353411166214,4.29163661993655,4.68146133296753,3.8428663223727,3.82484464331327,3.55572755178939,5.30871106690033,5.10090754636314,4.45593190867592,5.04190869737368,3.34023389423065,3.88355251095258,4.55854704951347,3.17634851755797,3.77984046589611,3.52231914668934,4.40690453500414,4.83458264159874,5.57765797135787,4.99478298408189,5.60467953289158,3.50397278788521,3.81711915848061,3.72233206271112,4.93314384253802,5.21489710877142,3.27770809756704,4.12486089623574,3.52794704144544,4.3118741041173,3.22290787723674,4.07853514425246,3.68418113026671,4.96916914935547,4.10393016938186,4.32235877205689,5.17306936262172,3.69922014004646,2.90545364056191,-1.7772726737263,-1.80877322406669,4.51597530317221,3.72980261583385,1.02007977873688,2.68991585316719,3.99721615744588,2.77470850881783,4.82783425352799,5.25346309684567,4.41121540765893,5.53057420250779,3.60918117039391,4.83350523458306,1.9234061606117,4.90707664062198,4.49606481929889,3.03366778531459,3.22388327105624,4.67093908595752,1.83000828206252,4.06527532246749,3.60590646373267,4.48696617932715,4.59251145613514,4.16239960457247,4.82071506512069,4.82639229174499,5.32059823566842,5.95186286489438,5.10918865393988,4.61298436546959,4.17494098889687
"ENSG00000002549",6.313860490485,3.90813245210838,5.31852337527405,2.60157990099606,1.87867708827524,5.87176157271987,7.15408915944422,-0.47913692332757,5.32368018041263,6.43872211324558,5.04981351146196,4.63261920999402,6.24947443331807,5.41410824418146,-1.38946762737672,0.275989817640027,6.19302250485364,4.82899923914639,4.79007085173244,3.9672841501867,4.40710346199819,6.76788720422389,5.81933198608412,3.76916855427557,2.67148469075309,5.5090972860738,5.64309680999692,4.71792943939676,5.01331074603432,3.69798547011409,4.74823592804467,3.76686100461402,4.70585949424166,5.87628679447086,6.51383900218322,6.01151400442463,6.93355733163156,6.59892468053583,4.41540394277283,4.00164805651788,6.16742651396529,6.43748031330961,4.64484051302493,5.17404517856172,3.50397278788521,6.64190867387423,6.7183190002045,4.50480952064572,6.15291022187572,4.84507653827346,5.41259407123951,6.47390720173255,5.49021134537581,6.23030001146677,5.98185912484079,6.06090169799446,5.20284149555792,5.69802368185515,4.70422940740054,7.14774658245839,7.32792018384345,-2.04874266982497,5.42239967111006,3.61749153063541,6.54622159004033,5.10550196716219,5.47445816964789,5.30538044228569,-0.646640032328843,5.79376684463351,5.59835240740522,4.98427646403028,5.24946433766232,4.5597205481673,5.93110926528127,5.85997744594425,3.9937954885031,4.51114796429084,5.15657835302722,6.9405583809231,5.35633356707989,4.96044570315251,6.00720128396887,4.29354431014061,5.10067115548225,5.7853074538969,6.30651590185804,6.66489994510166,5.5576806592869,6.1181584161221,4.84327645813523,5.82812749647214,5.22702514423373,5.92418605376389,5.27447666244778
"ENSG00000002586",11.1521018920025,10.6367221119596,9.97296172770814,11.3054834744407,10.417483291526,11.4218756630727,12.2867018189007,11.1954967384397,9.73179513350756,11.7821299355434,10.8515727372624,10.8966612443935,10.2228635688094,10.2773164009726,11.62228376794,12.3234545909584,10.9344158110607,10.9000970677871,10.2507727839509,9.78504566971758,10.8533377782539,10.323147176183,10.2963513562041,11.2807493461045,10.2771699700703,9.08241767402016,10.0992783821124,10.7127180127514,9.40492338372779,10.9208130016993,10.296198216047,10.5072269071679,11.6758003154221,10.6839970163803,10.9258522263029,10.5515085952457,11.6953009476412,10.3814520954928,11.5866128234855,12.1498841408499,10.8930197093347,9.83865008286055,9.96180967089816,10.1760040315998,10.8666087783667,10.9016448699824,11.4965334346798,11.8872334091832,10.3693840151824,10.096493600401,10.3502094827354,10.3778580203872,10.6736793946386,9.64249294311852,10.1269715611305,10.5433652068046,11.3125379223769,9.86820149939219,10.4514335928775,9.56034503628581,9.82757448297101,12.4185444537353,11.9974114501936,12.3138121446719,12.2296385019441,11.5318485513666,11.3351422296179,11.0131149941862,11.1739378503269,11.9777700948775,10.1433834358527,10.7357346918411,10.7072277791538,10.7352451492572,11.1148123085012,11.0041721722931,11.2367427222639,11.2469266435066,11.5252184365885,10.9310811026196,11.387242656644,10.7994585701824,10.5894425734949,11.2531222319071,11.2172666545184,11.222590808806,9.71309040419925,10.1847674176009,10.3376088909271,9.96981949101023,10.4843010571268,10.2846198372692,10.144250948777,10.466351685284,10.6599076996413
"ENSG00000003056",6.77264588512901,6.7488845840461,6.45763525486602,5.95207714808019,5.28961018922135,6.60092879632567,6.59690370161687,5.93025401281013,6.88623143371352,4.85375961252443,6.57293675836526,6.24852541792345,6.55779703344169,6.40988365831974,4.5878122961232,5.32038393699848,5.44550699134652,6.63033874578622,6.07805161469647,6.27353062284179,6.24818350649993,6.13776852233418,6.18190206546883,4.86031644233376,6.3801215618608,7.15148806684403,5.46061875821152,6.11902774771773,6.55318535722694,5.8014150597695,5.54604707743141,6.20199970994937,4.96494671555879,6.40373683653681,6.9619588564179,6.40259677155175,5.70806899700214,7.13033771298025,5.35882041440646,6.06831909616316,6.78346732587188,6.75350780675729,6.67977430313431,5.087888534812,4.1140262695692,5.10802035774735,5.6141832588555,5.44108392303533,4.62317724187496,5.97612864807148,6.30485961969116,6.93393940112128,6.22179875981545,7.03730378467492,5.79938107305539,6.42347177737916,5.9125856209891,6.20666827497112,6.45787374271337,7.81417494138041,7.69352260638681,5.64474428767436,2.97761482843717,5.44861461862596,5.37479924021152,5.58083997670885,6.23551943943156,5.35288086588962,5.56929736687031,6.48456225736679,6.31528024833489,5.96566078586294,5.59563997879636,5.04514737533755,5.00773054688418,5.75104307439109,4.35636556788781,5.99114090541046,6.46073174618661,5.18050917364386,6.18165503566694,5.53076142790926,6.74995503049648,5.0020814959803,5.63832794142505,6.19637605097279,7.27137409573778,7.52445581216515,5.70705828332512,7.14832038663236,6.58870363104963,6.20498180186309,6.03033323322864,5.63945657683078,6.41198018619772
"ENSG00000003402",8.16619396143363,5.8539120611105,6.05194426239684,6.06101151963336,6.04129728909432,5.92520083168133,6.36068960873708,6.12077591885956,5.72825574087285,6.67478947147911,5.48239921195166,4.67878939142695,5.97493605536582,6.36694313610278,5.23988899270289,6.61583982052465,6.8321407756217,6.23525585288302,5.64302974096347,5.95750312939411,6.0905396597476,6.32874799103916,5.99179918208889,6.62931089069261,6.45962900884486,6.46069265411075,6.24227316993778,5.40980714403442,5.71431946242411,6.09586241823475,6.0745962692473,6.29680940333069,6.42617384785771,6.60926704068589,6.77604688548459,6.34890890065777,6.93355733163156,6.45145734887145,6.20681732096141,5.71105792816352,6.34458308463867,5.71354139943965,6.45623094831769,6.56536660886675,5.66543621057933,5.89915492734662,5.57920712061252,5.92651075020558,4.45071004587019,5.88436566938751,6.42584205267819,6.29098361395322,5.86613980761554,6.32540495115876,5.55246633258488,4.99677136057474,5.62124584593516,6.17431949727326,6.44454621106638,6.23259706400844,6.09215634689685,5.76503852139207,5.46113206559878,4.82058339601292,5.66675525534782,5.4867177993443,5.64606954771809,5.56942056098063,5.09931434506462,5.755395033761,6.14409359832866,6.59369200847598,6.40024428983793,5.84660169595547,6.48959955464123,5.75104307439109,6.23083468580395,6.32930964130503,6.08102732002005,6.76547167436501,6.26491053931629,6.29109101514098,6.35357023811953,5.75617126793771,6.16884265812383,6.33279524919939,6.27532128025445,6.2257255399413,6.43453242851403,6.1181584161221,6.06566887947168,6.68090154328896,5.96399073839994,6.04792142218613,6.15766299746503
"ENSG00000003436",3.77780759024479,8.65423372101965,7.62622008432075,8.36180084746257,8.43466052202463,9.36887636496559,9.45066645386315,8.26569691417198,8.58862440606317,9.48990083717115,8.62549819859511,8.97377187214629,8.70083434562919,9.7590529917938,9.63636404095531,8.55984987169387,9.48387228855556,8.45878024370939,8.88409737601007,8.73654124366411,9.13123328618438,7.74621386160485,7.85886035027076,8.90203146149634,8.06252933441014,6.74191384987766,8.21610650795631,8.24309885527565,7.68094090442531,7.89154412806014,8.61003863412465,8.30823423678749,8.78495077404689,8.05172880088074,8.04492564953008,7.75451418479377,7.87919875428974,7.54234115216946,9.07690799836698,8.77945870296147,8.04452948937407,8.07385832353132,8.03581025234194,8.83865992850324,8.58920062475225,8.35660799247488,7.90467123452713,9.41110629239696,8.80322646059098,8.74486898898081,8.36867816461742,7.99737338992197,8.7553411692118,7.38733270030196,8.3977891048415,7.79337990116835,8.01404360667104,8.53497998664934,7.84908522826596,7.03596212923024,7.44105148938448,8.38692759111158,8.52078989399271,8.72747399162144,8.27176816780084,8.67809591045293,8.71891798510475,8.3910667840616,8.85784794806591,7.56995374859744,8.14125084855984,8.12932679683357,8.0142797147554,7.93267264607913,7.56760206664251,8.386956762559,7.95462489122242,8.6251642245825,8.39673689217225,8.09049900791126,8.06647537317038,7.58138750097923,7.69024878437221,7.63989587896719,7.78309946563902,8.00202666681815,7.80674535408443,6.98028519412225,8.46631891718168,7.35211558909147,8.22341916696789,7.86532611442639,6.63141539931307,8.3698495170735,7.98719471036731
"ENSG00000004059",8.56290970545526,7.00806225079244,7.14721475903221,7.17446956941664,7.26786841006729,6.84626120042601,8.40755621377505,7.21435003417175,4.65723627755283,8.78607280501285,6.94793389744275,6.81163822199482,5.63557815435208,7.32043627591431,7.95704610578892,8.58129159393998,6.04364488081541,6.72369929388813,7.12535732947483,7.30857756994099,7.65754306913045,6.70935199325413,6.71241678216761,6.48401133754364,6.40443722241268,6.59094904006209,6.73307817683459,6.68991506322716,6.3975022783604,6.75999513238952,6.46057773524206,7.12656575030434,7.42975818520674,6.90094884870513,6.46338997949587,6.50432665851558,7.3427845329204,6.82548313145183,7.67303354416582,8.2330638584998,7.06607727004244,6.10817268805665,6.13228650783182,6.22539205856194,6.69067350207835,8.01574705598193,8.17445888072518,7.6305259225705,5.67310246720664,6.74190109029806,5.88119181526888,6.11007795138343,6.68159771010105,6.37070522034923,7.32927219128287,6.6428741561098,6.94921454297982,5.31449715532152,6.13179400455554,6.49182320971393,6.18325373191683,7.96945750898826,8.4976877984143,8.08452830679387,8.39986116240923,7.6170810821884,8.17684353210395,8.43311041137205,8.60681354274734,8.12776146080572,6.14409359832866,6.10826518130574,5.84255471926688,6.39159778935898,6.86399506942273,6.3454042731145,6.87760247099858,6.24050037434718,7.79453394136227,6.96777984965813,6.51212823968731,7.13522010425621,6.97420300841141,7.53961865050872,6.8607203627615,6.22002731903744,6.43910154147585,6.01654873810902,6.04310748645714,5.52300014829506,6.55455540863779,5.82812749647214,6.21281128501403,6.80061136864536,6.55080789089503
"ENSG00000004534",6.97495406042212,5.03267755004669,4.03588441150074,3.739083424746,1.58917047108026,3.56530488659495,-2.17458576788373,-0.47913692332757,-0.525985546502941,5.03433185816625,1.05986717612589,2.89955807028374,4.40251880796378,-2.00374427070444,-1.38946762737672,-1.30897268308113,3.32117885634432,3.18689283132163,6.24236796958037,4.24968388088742,3.00158873683785,7.5533607976402,7.32586783984846,5.72134002918495,7.08401533442136,8.06321861572492,7.03473387669569,5.66134591103039,6.7744868937924,6.79687113462455,6.27276257490385,6.25543896891083,-1.22487784332122,6.28883474172401,7.41907607893923,7.19386375012167,6.13660233876521,7.18583282557195,2.83044144205167,2.25162630952622,6.39498803807592,6.60413018271906,7.16717202547568,6.58122056006759,4.7478983707713,5.86986062055258,5.95157815508863,0.486887612648458,6.00481158288659,2.78175060290463,6.97610346229435,7.55630817763134,6.3822634320087,7.45409617413595,6.75827586972572,5.76340782141729,5.92898005923977,8.20906544258034,7.68310611583478,8.75847217924462,8.24521076454965,-2.04874266982497,-1.7772726737263,-1.80877322406669,-1.36666774618963,4.94172170594079,1.02007977873688,4.06272511705673,2.81279158630845,3.8494762772198,6.09792341689574,7.36421016235321,7.98520679055908,6.99267995544341,7.96353074297365,7.74395364960477,6.87760247099858,7.03140477562418,7.34276840883232,8.36073918347791,6.5346708083384,7.93285987148061,7.86042462386452,6.82473555442078,7.34614718993174,7.93929091147019,7.91696837733325,8.20117793232897,7.19417346064813,7.9284132286855,7.92239517525283,7.94691364892265,8.51170184382453,7.94024590465999,8.32565538637335
